Holmes	CHAREL	MONSIEUR CHAREL
Charel	HOLMES	MR. HOLMES
Watson	HOLMES	HOLMES
Holmes	CHAREL	MONSIEUR CHAREL
Holmes	CHAREL	MONSIEUR CHAREL
Charel	HOLMES	MONSIEUR HOLMES
Gendarme	HOLMES	MONSIEUR
Watson	HOLMES	HOLMES
Holmes	WATSON	MY DEAR CHAP
Holmes	CHAREL	MONSIEUR CHAREL
Watson	HOLMES	HOLMES
Watson	HOLMES	HOLMES
Prefect	HOLMES	MONSIEUR SHERLOCK HOLMES
Prefect	HOLMES	MR. HOLMES
Holmes	PREFECT	MONSIEUR LE PREFECT
Reggie	PREFECT	MONSIEUR LE PREFECT
Prefect	HOLMES	MONSIEUR HOLMES
	HOLMES	MR. HOLMES
Holmes	WATSON	DOCTOR WATSON
Reggie	WATSON	DOCTOR WATSON
Reggie	HOLMES	MR. HOLMES
Reggie	WATSON	DOCTOR WATSON
Reginald	DUC	MONSIEUR LE DUC.
Charel	HOLMES	MONSIEUR SHERLOCK HOLMES
Charel	WATSON	DOCTOR WATSON
Watson	CHAREL	SIR
Reggie	CHAREL	MONSIEUR CHAREL
Charel	HOLMES	MONSIEUR HOLMES
Reggie	HOLMES	MR. HOLMES
Reggie	WATSON	DOCTOR WATSON
Holmes	WATSON	WATSON
Holmes	WATSON	OLD CHAP
Watson	HOLMES	HOLMES
Reggie	HOLMES	MR. HOLMES
Reggie	HOLMES	MR. HOLMES
Prefect	HOLMES	MR. HOLMES
Holmes	PREFECT	MONSIEUR
Holmes	CHAREL	MONSIEUR CHAREL
Holmes	WATSON	DOCTOR WATSON
Holmes	CHAREL	MONSIEUR CHAREL
Charel	HOLMES	MONSIEUR SHERLOCK HOLMES
Holmes	CHAREL	MONSIEUR
Holmes	CHAREL	MONSIEUR CHAREL
Charel	WATSON	DOCTOR WATSON
Charel	HOLMES	MONSIEUR HOLMES
Charel	HOLMES	MONSIEUR HOLMES
Prefect	HOLMES	MONSIEUR HOLMES
Prefect	WATSON	DOCTOR WATSON
Holmes	PREFECT	MONSIEUR LE PREFECT
Charel	HOLMES	SHERLOCK HOLMES
Holmes	CHAREL	MONSIEUR CHAREL
Reggie	HOLMES	HOLMES
Charel	HOLMES	HOLMES
Charel	WATSON	DOCTOR WATSON
Forman	HOLMES	SHERLOCK HOLMES
Forman	WATSON	DOCTOR WATSON
Forman	HOLMES	HOLMES
Prefect	HOLMES	HOLMES
Holmes	PREFECT	MONSIEUR LE PREFECT
Holmes	PREFECT	MONSIEUR LE PREFECT
Duc	PREFEE	MONSIEUR LE PREFEE
Prefect	DUC	MONSIEUR LE DUC
Reggie	PREFECT	MONSIEUR LE PREFECT
Prefect	HOLMES	MONSIEUR SHERLOCK HOLMES
Duc	PREFEE	MONSIEUR LE PREFEE
Prefect	HOLMES	HOLMES
Holmes	PREFECT	MONSIEUR LE PREFECT
Holmes	CHAREL	MONSIEUR CHAREL
Holmes	WATSON	DOCTOR WATSON
Holmes	BONCOURT	MONSIEUR LE DUC DE BONCOURT
Prefect	HOLMES	MONSIEUR HOLMES
Holmes	WATSON	DOCTOR WATSON
Watson	HOLMES	HOLMES
Holmes	PREFECT	MONSIEUR LE PREFECT
Watson	PREFECT	MONSIEUR LE PREFECT
